,OBJECTID,Join_Count,TARGET_FID,plotid,longitude,latitude,shape,size_m,sample_points,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,Water>irrigation ditch,grass,Water>rivers/stream,Impervious Surface (no building),Wetlands,Water>lake/ponded/container,cultivated vegetation,Bare Ground,Building,Trees_CanopyCover,unknown,bush/scrub,shadow,shape.1,shape.2,shape.3,shape.4,shape.5,shape.6,shape.7,shape.8,shape_12_13_14_15_16_17_18_19_2,Water>treated pool,shape_12_13_14_15_16_17_18_19_3,shape_12_13_14_15_16_17_18_19_4,shape_12_13_14_15_16_17_18_19_5,shape_12_13_14_15_16_17_18_19_6,shape_12_13_14_15_16_17_18_19_7,shape_12_13_14_15_16_17_18_19_8,shape_12_13_14_15_16_17_18_19_9,shape_12_13_14_15_16_17_18_1_10,shape_12_13_14_15_16_17_18_1_11,shape_12_13_14_15_16_17_18_1_12,plotid 1,center_lon 1,center_lat 1,shape 1,size_m 1,sample_points 1,flagged 1,flagged_reason 1,confidence 1,collection_time 1,analysis_duration 1,common_securewatch_date 1,total_securewatch_dates 1,Land_Cover_Elements_Water_irr_1,grass 1,Land_Cover_Elements_Water_riv_1,Land_Cover_Elements_Impervious1,Wetlands 1,Land_Cover_Elements_Water_lake1,Land_Cover_Elements_cultivated1,Land_Cover_Elements_Bare_Grou_1,Building 1,Land_Cover_Elements_Trees_Can_1,unknown 1,Land_Cover_Elements_bush_scrub_,shadow 1,shape 1.1,shape 1.2,shape 1.3,shape 1.4,shape 1.5,shape 1.6,shape 1.7,shape 1.8,shape_12_13_14_15_16_17_18_1_13,Land_Cover_Elements_Water_tre_1,shape_12_13_14_15_16_17_18_1_14,shape_12_13_14_15_16_17_18_1_15,shape_12_13_14_15_16_17_18_1_16,shape_12_13_14_15_16_17_18_1_17,shape_12_13_14_15_16_17_18_1_18,shape_12_13_14_15_16_17_18_1_19,shape_12_13_14_15_16_17_18_1_20,shape_12_13_14_15_16_17_18_1_21,shape_12_13_14_15_16_17_18_1_22,shape_12_13_14_15_16_17_18_1_23,x,y,Median Income,Min Distance,AOI,Average Income
10,11,1,11,610,-97.772499,30.500742,,100,100,0,,80,05-07-2024 21:41,391.3 secs,,0,0,8,0,29,0,0,0,0,24,31,0,1,7,,,,,,,,,,,,,,,,,,,,,610,-97.772499,30.500742,,100,100,0,,80,05-07-2024 21:41,391.3 secs,,0,0,8,0,29,0,0,0,0,24,31,0,1,7,,,,,,,,,,,,,,,,,,,,,-97.772499,30.500742,61777,1499.613139,6,90641.59459
11,12,1,12,611,-97.772499,30.505239,,100,100,0,,91,05-07-2024 21:48,374.0 secs,,0,0,0,85,0,0,0,0,0,0,6,0,0,9,,,,,,,,,,,,,,,,,,,,,611,-97.772499,30.505239,,100,100,0,,91,05-07-2024 21:48,374.0 secs,,0,0,0,85,0,0,0,0,0,0,6,0,0,9,,,,,,,,,,,,,,,,,,,,,-97.772499,30.505239,61777,1952.044806,6,90641.59459
12,13,1,13,612,-97.772499,30.509735,,100,100,0,,82,05-07-2024 22:33,2745.6 secs,,0,0,10,0,41,0,0,0,0,20,20,0,0,9,,,,,,,,,,,,,,,,,,,,,612,-97.772499,30.509735,,100,100,0,,82,05-07-2024 22:33,2745.6 secs,,0,0,10,0,41,0,0,0,0,20,20,0,0,9,,,,,,,,,,,,,,,,,,,,,-97.772499,30.509735,61777,2422.538867,6,90641.59459
13,14,1,14,613,-97.767281,30.487252,,100,100,0,,81,05-07-2024 23:06,1981.2 secs,,0,0,21,0,1,0,0,0,0,15,57,0,0,6,,,,,,,,,,,,,,,,,,,,,613,-97.767281,30.487252,,100,100,0,,81,05-07-2024 23:06,1981.2 secs,,0,0,21,0,1,0,0,0,0,15,57,0,0,6,,,,,,,,,,,,,,,,,,,,,-97.767281,30.487252,61777,1231.303561,6,90641.59459
14,15,1,15,614,-97.767281,30.491749,,100,100,0,,73,06-07-2024 04:41,20085.8 secs,,0,0,15,0,13,0,1,0,0,27,37,0,0,7,,,,,,,,,,,,,,,,,,,,,614,-97.767281,30.491749,,100,100,0,,73,06-07-2024 04:41,20085.8 secs,,0,0,15,0,13,0,1,0,0,27,37,0,0,7,,,,,,,,,,,,,,,,,,,,,-97.767281,30.491749,61777,1259.584026,6,90641.59459
15,16,1,16,615,-97.767281,30.496245,,100,100,0,,81,06-07-2024 04:45,202.7 secs,,0,0,10,0,14,0,1,0,0,31,38,0,0,6,,,,,,,,,,,,,,,,,,,,,615,-97.767281,30.496245,,100,100,0,,81,06-07-2024 04:45,202.7 secs,,0,0,10,0,14,0,1,0,0,31,38,0,0,6,,,,,,,,,,,,,,,,,,,,,-97.767281,30.496245,61777,1467.617173,6,90641.59459
16,17,1,17,616,-97.767281,30.500742,,100,100,0,,80,06-07-2024 04:50,305.6 secs,,0,0,5,0,20,0,0,0,0,26,41,0,0,8,,,,,,,,,,,,,,,,,,,,,616,-97.767281,30.500742,,100,100,0,,80,06-07-2024 04:50,305.6 secs,,0,0,5,0,20,0,0,0,0,26,41,0,0,8,,,,,,,,,,,,,,,,,,,,,-97.767281,30.500742,61777,1793.99181,6,90641.59459
17,18,1,18,617,-97.767281,30.505239,,100,100,0,,80,06-07-2024 04:53,204.6 secs,,0,0,37,0,2,0,0,0,0,0,35,0,18,8,,,,,,,,,,,,,,,,,,,,,617,-97.767281,30.505239,,100,100,0,,80,06-07-2024 04:53,204.6 secs,,0,0,37,0,2,0,0,0,0,0,35,0,18,8,,,,,,,,,,,,,,,,,,,,,-97.767281,30.505239,61777,2186.321424,6,90641.59459
18,19,1,19,618,-97.767281,30.509735,,100,100,0,,85,06-07-2024 04:56,157.0 secs,,0,6,36,10,6,0,0,0,0,2,35,0,0,5,,,,,,,,,,,,,,,,,,,,,618,-97.767281,30.509735,,100,100,0,,85,06-07-2024 04:56,157.0 secs,,0,6,36,10,6,0,0,0,0,2,35,0,0,5,,,,,,,,,,,,,,,,,,,,,-97.767281,30.509735,61777,2614.989945,6,90641.59459
19,20,1,20,619,-97.762063,30.487252,,100,100,0,,85,06-07-2024 04:59,199.4 secs,,0,0,13,0,9,0,0,0,0,34,36,1,0,7,,,,,,,,,,,,,,,,,,,,,619,-97.762063,30.487252,,100,100,0,,85,06-07-2024 04:59,199.4 secs,,0,0,13,0,9,0,0,0,0,34,36,1,0,7,,,,,,,,,,,,,,,,,,,,,-97.762063,30.487252,117987,1457.804488,6,90641.59459
20,21,1,21,620,-97.762063,30.491749,,100,100,0,,85,06-07-2024 05:01,131.2 secs,,0,0,59,0,14,0,0,0,0,15,5,0,0,7,,,,,,,,,,,,,,,,,,,,,620,-97.762063,30.491749,,100,100,0,,85,06-07-2024 05:01,131.2 secs,,0,0,59,0,14,0,0,0,0,15,5,0,0,7,,,,,,,,,,,,,,,,,,,,,-97.762063,30.491749,117987,1376.458065,6,90641.59459
21,22,1,22,621,-97.762063,30.496245,,100,100,0,,80,06-07-2024 05:05,219.3 secs,,0,0,12,0,31,0,0,0,0,31,18,0,0,8,,,,,,,,,,,,,,,,,,,,,621,-97.762063,30.496245,,100,100,0,,80,06-07-2024 05:05,219.3 secs,,0,0,12,0,31,0,0,0,0,31,18,0,0,8,,,,,,,,,,,,,,,,,,,,,-97.762063,30.496245,117987,1470.051427,6,90641.59459
22,23,1,23,622,-97.762063,30.500742,,100,100,0,,80,06-07-2024 05:09,254.1 secs,,0,0,19,0,21,0,0,0,0,27,21,1,0,11,,,,,,,,,,,,,,,,,,,,,622,-97.762063,30.500742,,100,100,0,,80,06-07-2024 05:09,254.1 secs,,0,0,19,0,21,0,0,0,0,27,21,1,0,11,,,,,,,,,,,,,,,,,,,,,-97.762063,30.500742,117987,1710.133518,6,90641.59459
23,24,1,24,623,-97.762063,30.505239,,100,100,0,,80,06-07-2024 05:13,243.5 secs,,0,0,29,0,18,0,0,0,0,13,36,0,0,4,,,,,,,,,,,,,,,,,,,,,623,-97.762063,30.505239,,100,100,0,,80,06-07-2024 05:13,243.5 secs,,0,0,29,0,18,0,0,0,0,13,36,0,0,4,,,,,,,,,,,,,,,,,,,,,-97.762063,30.505239,117987,2045.763964,6,90641.59459
24,25,1,25,624,-97.762063,30.509735,,100,100,0,,85,06-07-2024 05:16,171.7 secs,,0,0,38,0,9,0,0,0,0,13,36,0,0,4,,,,,,,,,,,,,,,,,,,,,624,-97.762063,30.509735,,100,100,0,,85,06-07-2024 05:16,171.7 secs,,0,0,38,0,9,0,0,0,0,13,36,0,0,4,,,,,,,,,,,,,,,,,,,,,-97.762063,30.509735,117987,2437.701121,6,90641.59459
25,26,1,26,625,-97.756845,30.487252,,100,100,0,,85,06-07-2024 05:18,96.6 secs,,0,0,42,0,0,0,0,0,0,0,51,0,0,7,,,,,,,,,,,,,,,,,,,,,625,-97.756845,30.487252,,100,100,0,,85,06-07-2024 05:18,96.6 secs,,0,0,42,0,0,0,0,0,0,0,51,0,0,7,,,,,,,,,,,,,,,,,,,,,-97.756845,30.487252,117987,998.5553399,6,90641.59459
26,27,1,27,626,-97.756845,30.491749,,100,100,0,,90,06-07-2024 05:19,93.5 secs,,0,0,85,0,12,0,0,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,626,-97.756845,30.491749,,100,100,0,,90,06-07-2024 05:19,93.5 secs,,0,0,85,0,12,0,0,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,-97.756845,30.491749,117987,875.5612592,6,90641.59459
27,28,1,28,627,-97.756845,30.496245,,100,100,0,,85,10-07-2024 01:40,254.7 secs,,0,0,22,0,26,0,0,0,0,28,8,0,0,16,,,,,,,,,,,,,,,,,,,,,627,-97.756845,30.496245,,100,100,0,,85,10-07-2024 01:40,254.7 secs,,0,0,22,0,26,0,0,0,0,28,8,0,0,16,,,,,,,,,,,,,,,,,,,,,-97.756845,30.496245,117987,1016.40237,6,90641.59459
28,29,1,29,628,-97.756845,30.500742,,100,100,0,,80,10-07-2024 01:57,1040.9 secs,,0,0,13,0,17,0,0,0,0,35,23,0,0,12,,,,,,,,,,,,,,,,,,,,,628,-97.756845,30.500742,,100,100,0,,80,10-07-2024 01:57,1040.9 secs,,0,0,13,0,17,0,0,0,0,35,23,0,0,12,,,,,,,,,,,,,,,,,,,,,-97.756845,30.500742,117987,1340.384687,6,90641.59459
29,30,1,30,629,-97.756845,30.505239,,100,100,0,,80,10-07-2024 02:02,263.9 secs,,0,0,10,0,16,0,0,0,0,24,33,0,0,17,,,,,,,,,,,,,,,,,,,,,629,-97.756845,30.505239,,100,100,0,,80,10-07-2024 02:02,263.9 secs,,0,0,10,0,16,0,0,0,0,24,33,0,0,17,,,,,,,,,,,,,,,,,,,,,-97.756845,30.505239,117987,1748.506947,6,90641.59459
30,31,1,31,630,-97.756845,30.509735,,100,100,0,,80,10-07-2024 02:04,149.2 secs,,0,0,15,4,0,0,0,0,4,0,64,0,5,8,,,,,,,,,,,,,,,,,,,,,630,-97.756845,30.509735,,100,100,0,,80,10-07-2024 02:04,149.2 secs,,0,0,15,4,0,0,0,0,4,0,64,0,5,8,,,,,,,,,,,,,,,,,,,,,-97.756845,30.509735,117987,2194.2117,6,90641.59459
31,32,1,32,631,-97.751627,30.487252,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,631,-97.751627,30.487252,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.751627,30.487252,117987,609.0868107,6,90641.59459
32,33,1,33,632,-97.751627,30.491749,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,632,-97.751627,30.491749,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.751627,30.491749,117987,374.8470165,6,90641.59459
33,34,1,34,633,-97.751627,30.496245,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,633,-97.751627,30.496245,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.751627,30.496245,117987,637.9696955,6,90641.59459
34,35,1,35,634,-97.751627,30.500742,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,634,-97.751627,30.500742,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.751627,30.500742,117987,1081.93875,6,90641.59459
35,36,1,36,635,-97.751627,30.505239,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,635,-97.751627,30.505239,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.751627,30.505239,117987,1559.251645,6,90641.59459
36,37,1,37,636,-97.751627,30.509735,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,636,-97.751627,30.509735,,100,100,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.751627,30.509735,117987,2046.602778,6,90641.59459
37,38,1,38,1800,-97.890358,30.303585,,100,100,0,,90,01-07-2024 15:39,130.9 secs,,0,0,6,0,12,0,0,0,0,11,65,0,0,6,,,,,,,,,,,,,,,,,,,,,1800,-97.890358,30.303585,,100,100,0,,90,01-07-2024 15:39,130.9 secs,,0,0,6,0,12,0,0,0,0,11,65,0,0,6,,,,,,,,,,,,,,,,,,,,,-97.890358,30.303585,300000,1553.534574,18,300000
38,39,1,39,1801,-97.903377,30.292344,,100,100,0,,90,01-07-2024 15:56,21.4 secs,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,1801,-97.903377,30.292344,,100,100,0,,90,01-07-2024 15:56,21.4 secs,,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.903377,30.292344,300000,2965.147501,18,300000
39,40,1,40,1802,-97.903377,30.296841,,100,100,0,,70,01-07-2024 15:56,48.5 secs,,0,0,2,0,0,0,0,0,0,0,98,0,0,0,,,,,,,,,,,,,,,,,,,,,1802,-97.903377,30.296841,,100,100,0,,70,01-07-2024 15:56,48.5 secs,,0,0,2,0,0,0,0,0,0,0,98,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.903377,30.296841,300000,2834.345782,18,300000
40,41,1,41,1803,-97.903377,30.301337,,100,100,0,,85,01-07-2024 15:57,33.0 secs,,0,0,1,0,0,0,0,0,0,0,99,0,0,0,,,,,,,,,,,,,,,,,,,,,1803,-97.903377,30.301337,,100,100,0,,85,01-07-2024 15:57,33.0 secs,,0,0,1,0,0,0,0,0,0,0,99,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.903377,30.301337,300000,2787.829116,18,300000
41,42,1,42,1804,-97.903377,30.305834,,100,100,0,,70,01-07-2024 16:02,324.9 secs,,0,0,0,0,0,0,0,0,38,1,59,0,0,2,,,,,,,,,,,,,,,,,,,,,1804,-97.903377,30.305834,,100,100,0,,70,01-07-2024 16:02,324.9 secs,,0,0,0,0,0,0,0,0,38,1,59,0,0,2,,,,,,,,,,,,,,,,,,,,,-97.903377,30.305834,300000,2829.736719,18,300000
42,43,1,43,1805,-97.903377,30.31033,,100,100,0,,60,01-07-2024 16:08,336.9 secs,,0,1,3,0,1,0,0,0,0,14,34,1,42,4,,,,,,,,,,,,,,,,,,,,,1805,-97.903377,30.31033,,100,100,0,,60,01-07-2024 16:08,336.9 secs,,0,1,3,0,1,0,0,0,0,14,34,1,42,4,,,,,,,,,,,,,,,,,,,,,-97.903377,30.31033,300000,2956.293034,18,300000
43,44,1,44,1806,-97.903377,30.314827,,100,100,0,,75,01-07-2024 16:09,111.1 secs,,0,0,0,0,1,0,0,0,0,0,92,0,7,0,,,,,,,,,,,,,,,,,,,,,1806,-97.903377,30.314827,,100,100,0,,75,01-07-2024 16:09,111.1 secs,,0,0,0,0,1,0,0,0,0,0,92,0,7,0,,,,,,,,,,,,,,,,,,,,,-97.903377,30.314827,300000,3157.38717,18,300000
44,45,1,45,1807,-97.898169,30.292344,,100,100,0,,70,01-07-2024 16:20,646.2 secs,,0,0,5,0,14,0,0,0,0,9,66,0,1,5,,,,,,,,,,,,,,,,,,,,,1807,-97.898169,30.292344,,100,100,0,,70,01-07-2024 16:20,646.2 secs,,0,0,5,0,14,0,0,0,0,9,66,0,1,5,,,,,,,,,,,,,,,,,,,,,-97.898169,30.292344,300000,2499.921396,18,300000
45,46,1,46,1808,-97.898169,30.296841,,100,100,0,,80,01-07-2024 16:21,63.8 secs,,0,0,0,0,0,0,0,0,5,0,95,0,0,0,,,,,,,,,,,,,,,,,,,,,1808,-97.898169,30.296841,,100,100,0,,80,01-07-2024 16:21,63.8 secs,,0,0,0,0,0,0,0,0,5,0,95,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.898169,30.296841,300000,2343.31801,18,300000
46,47,1,47,1809,-97.898169,30.301337,,100,100,0,,80,01-07-2024 16:23,96.4 secs,,0,0,0,0,0,0,0,0,7,0,84,0,9,0,,,,,,,,,,,,,,,,,,,,,1809,-97.898169,30.301337,,100,100,0,,80,01-07-2024 16:23,96.4 secs,,0,0,0,0,0,0,0,0,7,0,84,0,9,0,,,,,,,,,,,,,,,,,,,,,-97.898169,30.301337,300000,2286.860393,18,300000
47,48,1,48,1810,-97.898169,30.305834,,100,100,0,,80,01-07-2024 16:24,55.8 secs,,0,0,0,0,3,0,0,0,7,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,,1810,-97.898169,30.305834,,100,100,0,,80,01-07-2024 16:24,55.8 secs,,0,0,0,0,3,0,0,0,7,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.898169,30.305834,300000,2337.790668,18,300000
48,49,1,49,1811,-97.898169,30.31033,,100,100,0,,80,01-07-2024 17:13,2968.5 secs,,0,1,2,0,9,0,0,0,0,22,61,0,0,5,,,,,,,,,,,,,,,,,,,,,1811,-97.898169,30.31033,,100,100,0,,80,01-07-2024 17:13,2968.5 secs,,0,1,2,0,9,0,0,0,0,22,61,0,0,5,,,,,,,,,,,,,,,,,,,,,-97.898169,30.31033,300000,2489.505939,18,300000
49,50,1,50,1812,-97.898169,30.314827,,100,100,0,,85,01-07-2024 18:01,2862.7 secs,,0,3,6,0,12,0,0,0,0,24,45,0,0,10,,,,,,,,,,,,,,,,,,,,,1812,-97.898169,30.314827,,100,100,0,,85,01-07-2024 18:01,2862.7 secs,,0,3,6,0,12,0,0,0,0,24,45,0,0,10,,,,,,,,,,,,,,,,,,,,,-97.898169,30.314827,300000,2725.285509,18,300000
50,51,1,51,1813,-97.892961,30.292344,,100,100,0,,70,01-07-2024 18:03,120.8 secs,,0,0,0,0,0,0,0,0,0,0,79,0,21,0,,,,,,,,,,,,,,,,,,,,,1813,-97.892961,30.292344,,100,100,0,,70,01-07-2024 18:03,120.8 secs,,0,0,0,0,0,0,0,0,0,0,79,0,21,0,,,,,,,,,,,,,,,,,,,,,-97.892961,30.292344,300000,2051.612116,18,300000
51,52,1,52,1814,-97.892961,30.296841,,100,100,0,,70,01-07-2024 18:04,88.3 secs,,0,2,2,0,0,0,0,0,0,9,86,0,0,1,,,,,,,,,,,,,,,,,,,,,1814,-97.892961,30.296841,,100,100,0,,70,01-07-2024 18:04,88.3 secs,,0,2,2,0,0,0,0,0,0,9,86,0,0,1,,,,,,,,,,,,,,,,,,,,,-97.892961,30.296841,300000,1857.61613,18,300000
52,53,1,53,1815,-97.892961,30.301337,,100,100,0,,65,01-07-2024 18:07,190.5 secs,,0,0,2,0,11,0,0,0,3,13,68,0,0,3,,,,,,,,,,,,,,,,,,,,,1815,-97.892961,30.301337,,100,100,0,,65,01-07-2024 18:07,190.5 secs,,0,0,2,0,11,0,0,0,3,13,68,0,0,3,,,,,,,,,,,,,,,,,,,,,-97.892961,30.301337,300000,1785.895276,18,300000
53,54,1,54,1816,-97.892961,30.305834,,100,100,0,,70,01-07-2024 18:11,252.3 secs,,0,0,40,0,4,0,0,0,13,0,39,0,0,4,,,,,,,,,,,,,,,,,,,,,1816,-97.892961,30.305834,,100,100,0,,70,01-07-2024 18:11,252.3 secs,,0,0,40,0,4,0,0,0,13,0,39,0,0,4,,,,,,,,,,,,,,,,,,,,,-97.892961,30.305834,300000,1850.689009,18,300000
54,55,1,55,1817,-97.892961,30.31033,,100,100,0,,75,01-07-2024 18:15,218.6 secs,,0,0,2,0,4,0,0,0,3,14,71,0,2,4,,,,,,,,,,,,,,,,,,,,,1817,-97.892961,30.31033,,100,100,0,,75,01-07-2024 18:15,218.6 secs,,0,0,2,0,4,0,0,0,3,14,71,0,2,4,,,,,,,,,,,,,,,,,,,,,-97.892961,30.31033,300000,2038.999148,18,300000
