OBJECTID,Join_Count,TARGET_FID,plotid,center_lon,center_lat,shape,size_m,sample_points,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,Water>irrigation ditch,grass,Water>rivers/stream,Impervious Surface (no building),Wetlands,Water>lake/ponded/container,cultivated vegetation,Bare Ground,Building,Trees_CanopyCover,unknown,bush/scrub,shadow,shape,shape,shape,shape,shape,shape,shape,shape,shape_12_13_14_15_16_17_18_19_2,Water>treated pool,shape_12_13_14_15_16_17_18_19_3,shape_12_13_14_15_16_17_18_19_4,shape_12_13_14_15_16_17_18_19_5,shape_12_13_14_15_16_17_18_19_6,shape_12_13_14_15_16_17_18_19_7,shape_12_13_14_15_16_17_18_19_8,shape_12_13_14_15_16_17_18_19_9,shape_12_13_14_15_16_17_18_1_10,shape_12_13_14_15_16_17_18_1_11,shape_12_13_14_15_16_17_18_1_12,plotid 1,center_lon 1,center_lat 1,shape 1,size_m 1,sample_points 1,flagged 1,flagged_reason 1,confidence 1,collection_time 1,analysis_duration 1,common_securewatch_date 1,total_securewatch_dates 1,Land_Cover_Elements_Water_irr_1,grass 1,Land_Cover_Elements_Water_riv_1,Land_Cover_Elements_Impervious1,Wetlands 1,Land_Cover_Elements_Water_lake1,Land_Cover_Elements_cultivated1,Land_Cover_Elements_Bare_Grou_1,Building 1,Land_Cover_Elements_Trees_Can_1,unknown 1,Land_Cover_Elements_bush_scrub_,shadow 1,shape 1,shape 1,shape 1,shape 1,shape 1,shape 1,shape 1,shape 1,shape_12_13_14_15_16_17_18_1_13,Land_Cover_Elements_Water_tre_1,shape_12_13_14_15_16_17_18_1_14,shape_12_13_14_15_16_17_18_1_15,shape_12_13_14_15_16_17_18_1_16,shape_12_13_14_15_16_17_18_1_17,shape_12_13_14_15_16_17_18_1_18,shape_12_13_14_15_16_17_18_1_19,shape_12_13_14_15_16_17_18_1_20,shape_12_13_14_15_16_17_18_1_21,shape_12_13_14_15_16_17_18_1_22,shape_12_13_14_15_16_17_18_1_23,x,y
11,1,11,610,-97.77249900,30.50074200,,100.00000000,100,false,,80,7/5/2024 9:41:00 PM,391.3 secs,,0,0,8.00000000,0,29.00000000,0,0,0,0,24,31.00000000,0,1,7,,,,,,,,,,,,,,,,,,,,,610,-97.77249900,30.50074200,,100.00000000,100,false,,80,7/5/2024 9:41:00 PM,391.3 secs,,0,0,8.00000000,0,29.00000000,0,0,0,0,24,31.00000000,0,1,7,,,,,,,,,,,,,,,,,,,,,-97.7724990003068,30.500741999839
12,1,12,611,-97.77249900,30.50523900,,100.00000000,100,false,,91,7/5/2024 9:48:00 PM,374.0 secs,,0,0,0.00000000,85,0.00000000,0,0,0,0,0,6.00000000,0,0,9,,,,,,,,,,,,,,,,,,,,,611,-97.77249900,30.50523900,,100.00000000,100,false,,91,7/5/2024 9:48:00 PM,374.0 secs,,0,0,0.00000000,85,0.00000000,0,0,0,0,0,6.00000000,0,0,9,,,,,,,,,,,,,,,,,,,,,-97.7724990003068,30.5052389996562
13,1,13,612,-97.77249900,30.50973500,,100.00000000,100,false,,82,7/5/2024 10:33:00 PM,2745.6 secs,,0,0,10.00000000,0,41.00000000,0,0,0,0,20,20.00000000,0,0,9,,,,,,,,,,,,,,,,,,,,,612,-97.77249900,30.50973500,,100.00000000,100,false,,82,7/5/2024 10:33:00 PM,2745.6 secs,,0,0,10.00000000,0,41.00000000,0,0,0,0,20,20.00000000,0,0,9,,,,,,,,,,,,,,,,,,,,,-97.7724990003068,30.5097349997935
14,1,14,613,-97.76728100,30.48725200,,100.00000000,100,false,,81,7/5/2024 11:06:00 PM,1981.2 secs,,0,0,21.00000000,0,1.00000000,0,0,0,0,15,57.00000000,0,0,6,,,,,,,,,,,,,,,,,,,,,613,-97.76728100,30.48725200,,100.00000000,100,false,,81,7/5/2024 11:06:00 PM,1981.2 secs,,0,0,21.00000000,0,1.00000000,0,0,0,0,15,57.00000000,0,0,6,,,,,,,,,,,,,,,,,,,,,-97.7672810003334,30.4872520001752
15,1,15,614,-97.76728100,30.49174900,,100.00000000,100,false,,73,7/6/2024 4:41:00 AM,20085.8 secs,,0,0,15.00000000,0,13.00000000,0,1,0,0,27,37.00000000,0,0,7,,,,,,,,,,,,,,,,,,,,,614,-97.76728100,30.49174900,,100.00000000,100,false,,73,7/6/2024 4:41:00 AM,20085.8 secs,,0,0,15.00000000,0,13.00000000,0,1,0,0,27,37.00000000,0,0,7,,,,,,,,,,,,,,,,,,,,,-97.7672810003334,30.4917489996974
16,1,16,615,-97.76728100,30.49624500,,100.00000000,100,false,,81,7/6/2024 4:45:00 AM,202.7 secs,,0,0,10.00000000,0,14.00000000,0,1,0,0,31,38.00000000,0,0,6,,,,,,,,,,,,,,,,,,,,,615,-97.76728100,30.49624500,,100.00000000,100,false,,81,7/6/2024 4:45:00 AM,202.7 secs,,0,0,10.00000000,0,14.00000000,0,1,0,0,31,38.00000000,0,0,6,,,,,,,,,,,,,,,,,,,,,-97.7672810003334,30.4962450003159
17,1,17,616,-97.76728100,30.50074200,,100.00000000,100,false,,80,7/6/2024 4:50:00 AM,305.6 secs,,0,0,5.00000000,0,20.00000000,0,0,0,0,26,41.00000000,0,0,8,,,,,,,,,,,,,,,,,,,,,616,-97.76728100,30.50074200,,100.00000000,100,false,,80,7/6/2024 4:50:00 AM,305.6 secs,,0,0,5.00000000,0,20.00000000,0,0,0,0,26,41.00000000,0,0,8,,,,,,,,,,,,,,,,,,,,,-97.7672810003334,30.500741999839
18,1,18,617,-97.76728100,30.50523900,,100.00000000,100,false,,80,7/6/2024 4:53:00 AM,204.6 secs,,0,0,37.00000000,0,2.00000000,0,0,0,0,0,35.00000000,0,18,8,,,,,,,,,,,,,,,,,,,,,617,-97.76728100,30.50523900,,100.00000000,100,false,,80,7/6/2024 4:53:00 AM,204.6 secs,,0,0,37.00000000,0,2.00000000,0,0,0,0,0,35.00000000,0,18,8,,,,,,,,,,,,,,,,,,,,,-97.7672810003334,30.5052389996562
19,1,19,618,-97.76728100,30.50973500,,100.00000000,100,false,,85,7/6/2024 4:56:00 AM,157.0 secs,,0,6,36.00000000,10,6.00000000,0,0,0,0,2,35.00000000,0,0,5,,,,,,,,,,,,,,,,,,,,,618,-97.76728100,30.50973500,,100.00000000,100,false,,85,7/6/2024 4:56:00 AM,157.0 secs,,0,6,36.00000000,10,6.00000000,0,0,0,0,2,35.00000000,0,0,5,,,,,,,,,,,,,,,,,,,,,-97.7672810003334,30.5097349997935
20,1,20,619,-97.76206300,30.48725200,,100.00000000,100,false,,85,7/6/2024 4:59:00 AM,199.4 secs,,0,0,13.00000000,0,9.00000000,0,0,0,0,34,36.00000000,1,0,7,,,,,,,,,,,,,,,,,,,,,619,-97.76206300,30.48725200,,100.00000000,100,false,,85,7/6/2024 4:59:00 AM,199.4 secs,,0,0,13.00000000,0,9.00000000,0,0,0,0,34,36.00000000,1,0,7,,,,,,,,,,,,,,,,,,,,,-97.7620630003599,30.4872520001752
21,1,21,620,-97.76206300,30.49174900,,100.00000000,100,false,,85,7/6/2024 5:01:00 AM,131.2 secs,,0,0,59.00000000,0,14.00000000,0,0,0,0,15,5.00000000,0,0,7,,,,,,,,,,,,,,,,,,,,,620,-97.76206300,30.49174900,,100.00000000,100,false,,85,7/6/2024 5:01:00 AM,131.2 secs,,0,0,59.00000000,0,14.00000000,0,0,0,0,15,5.00000000,0,0,7,,,,,,,,,,,,,,,,,,,,,-97.7620630003599,30.4917489996974
22,1,22,621,-97.76206300,30.49624500,,100.00000000,100,false,,80,7/6/2024 5:05:00 AM,219.3 secs,,0,0,12.00000000,0,31.00000000,0,0,0,0,31,18.00000000,0,0,8,,,,,,,,,,,,,,,,,,,,,621,-97.76206300,30.49624500,,100.00000000,100,false,,80,7/6/2024 5:05:00 AM,219.3 secs,,0,0,12.00000000,0,31.00000000,0,0,0,0,31,18.00000000,0,0,8,,,,,,,,,,,,,,,,,,,,,-97.7620630003599,30.4962450003159
23,1,23,622,-97.76206300,30.50074200,,100.00000000,100,false,,80,7/6/2024 5:09:00 AM,254.1 secs,,0,0,19.00000000,0,21.00000000,0,0,0,0,27,21.00000000,1,0,11,,,,,,,,,,,,,,,,,,,,,622,-97.76206300,30.50074200,,100.00000000,100,false,,80,7/6/2024 5:09:00 AM,254.1 secs,,0,0,19.00000000,0,21.00000000,0,0,0,0,27,21.00000000,1,0,11,,,,,,,,,,,,,,,,,,,,,-97.7620630003599,30.500741999839
24,1,24,623,-97.76206300,30.50523900,,100.00000000,100,false,,80,7/6/2024 5:13:00 AM,243.5 secs,,0,0,29.00000000,0,18.00000000,0,0,0,0,13,36.00000000,0,0,4,,,,,,,,,,,,,,,,,,,,,623,-97.76206300,30.50523900,,100.00000000,100,false,,80,7/6/2024 5:13:00 AM,243.5 secs,,0,0,29.00000000,0,18.00000000,0,0,0,0,13,36.00000000,0,0,4,,,,,,,,,,,,,,,,,,,,,-97.7620630003599,30.5052389996562
25,1,25,624,-97.76206300,30.50973500,,100.00000000,100,false,,85,7/6/2024 5:16:00 AM,171.7 secs,,0,0,38.00000000,0,9.00000000,0,0,0,0,13,36.00000000,0,0,4,,,,,,,,,,,,,,,,,,,,,624,-97.76206300,30.50973500,,100.00000000,100,false,,85,7/6/2024 5:16:00 AM,171.7 secs,,0,0,38.00000000,0,9.00000000,0,0,0,0,13,36.00000000,0,0,4,,,,,,,,,,,,,,,,,,,,,-97.7620630003599,30.5097349997935
26,1,26,625,-97.75684500,30.48725200,,100.00000000,100,false,,85,7/6/2024 5:18:00 AM,96.6 secs,,0,0,42.00000000,0,0.00000000,0,0,0,0,0,51.00000000,0,0,7,,,,,,,,,,,,,,,,,,,,,625,-97.75684500,30.48725200,,100.00000000,100,false,,85,7/6/2024 5:18:00 AM,96.6 secs,,0,0,42.00000000,0,0.00000000,0,0,0,0,0,51.00000000,0,0,7,,,,,,,,,,,,,,,,,,,,,-97.7568450003865,30.4872520001752
27,1,27,626,-97.75684500,30.49174900,,100.00000000,100,false,,90,7/6/2024 5:19:00 AM,93.5 secs,,0,0,85.00000000,0,12.00000000,0,0,0,0,1,1.00000000,0,0,1,,,,,,,,,,,,,,,,,,,,,626,-97.75684500,30.49174900,,100.00000000,100,false,,90,7/6/2024 5:19:00 AM,93.5 secs,,0,0,85.00000000,0,12.00000000,0,0,0,0,1,1.00000000,0,0,1,,,,,,,,,,,,,,,,,,,,,-97.7568450003865,30.4917489996974
28,1,28,627,-97.75684500,30.49624500,,100.00000000,100,false,,85,7/10/2024 1:40:00 AM,254.7 secs,,0,0,22.00000000,0,26.00000000,0,0,0,0,28,8.00000000,0,0,16,,,,,,,,,,,,,,,,,,,,,627,-97.75684500,30.49624500,,100.00000000,100,false,,85,7/10/2024 1:40:00 AM,254.7 secs,,0,0,22.00000000,0,26.00000000,0,0,0,0,28,8.00000000,0,0,16,,,,,,,,,,,,,,,,,,,,,-97.7568450003865,30.4962450003159
29,1,29,628,-97.75684500,30.50074200,,100.00000000,100,false,,80,7/10/2024 1:57:00 AM,1040.9 secs,,0,0,13.00000000,0,17.00000000,0,0,0,0,35,23.00000000,0,0,12,,,,,,,,,,,,,,,,,,,,,628,-97.75684500,30.50074200,,100.00000000,100,false,,80,7/10/2024 1:57:00 AM,1040.9 secs,,0,0,13.00000000,0,17.00000000,0,0,0,0,35,23.00000000,0,0,12,,,,,,,,,,,,,,,,,,,,,-97.7568450003865,30.500741999839
30,1,30,629,-97.75684500,30.50523900,,100.00000000,100,false,,80,7/10/2024 2:02:00 AM,263.9 secs,,0,0,10.00000000,0,16.00000000,0,0,0,0,24,33.00000000,0,0,17,,,,,,,,,,,,,,,,,,,,,629,-97.75684500,30.50523900,,100.00000000,100,false,,80,7/10/2024 2:02:00 AM,263.9 secs,,0,0,10.00000000,0,16.00000000,0,0,0,0,24,33.00000000,0,0,17,,,,,,,,,,,,,,,,,,,,,-97.7568450003865,30.5052389996562
31,1,31,630,-97.75684500,30.50973500,,100.00000000,100,false,,80,7/10/2024 2:04:00 AM,149.2 secs,,0,0,15.00000000,4,0.00000000,0,0,0,4,0,64.00000000,0,5,8,,,,,,,,,,,,,,,,,,,,,630,-97.75684500,30.50973500,,100.00000000,100,false,,80,7/10/2024 2:04:00 AM,149.2 secs,,0,0,15.00000000,4,0.00000000,0,0,0,4,0,64.00000000,0,5,8,,,,,,,,,,,,,,,,,,,,,-97.7568450003865,30.5097349997935
32,1,32,631,-97.75162700,30.48725200,,100.00000000,100,,,,,,,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,631,-97.75162700,30.48725200,,100.00000000,100,,,,,,,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.7516270004131,30.4872520001752
33,1,33,632,-97.75162700,30.49174900,,100.00000000,100,,,,,,,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,632,-97.75162700,30.49174900,,100.00000000,100,,,,,,,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.7516270004131,30.4917489996974
34,1,34,633,-97.75162700,30.49624500,,100.00000000,100,,,,,,,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,633,-97.75162700,30.49624500,,100.00000000,100,,,,,,,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.7516270004131,30.4962450003159
35,1,35,634,-97.75162700,30.50074200,,100.00000000,100,,,,,,,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,634,-97.75162700,30.50074200,,100.00000000,100,,,,,,,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.7516270004131,30.500741999839
36,1,36,635,-97.75162700,30.50523900,,100.00000000,100,,,,,,,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,635,-97.75162700,30.50523900,,100.00000000,100,,,,,,,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.7516270004131,30.5052389996562
37,1,37,636,-97.75162700,30.50973500,,100.00000000,100,,,,,,,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,636,-97.75162700,30.50973500,,100.00000000,100,,,,,,,0,0,0.00000000,0,0.00000000,0,0,0,0,0,0.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.7516270004131,30.5097349997935
38,1,38,1800,-97.89035800,30.30358500,,100.00000000,100,false,,90,7/1/2024 3:39:00 PM,130.9 secs,,0,0,6.00000000,0,12.00000000,0,0,0,0,11,65.00000000,0,0,6,,,,,,,,,,,,,,,,,,,,,1800,-97.89035800,30.30358500,,100.00000000,100,false,,90,7/1/2024 3:39:00 PM,130.9 secs,,0,0,6.00000000,0,12.00000000,0,0,0,0,11,65.00000000,0,0,6,,,,,,,,,,,,,,,,,,,,,-97.8903579997192,30.3035849996663
39,1,39,1801,-97.90337700,30.29234400,,100.00000000,100,false,,90,7/1/2024 3:56:00 PM,21.4 secs,,0,0,0.00000000,0,0.00000000,0,0,0,0,0,100.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,1801,-97.90337700,30.29234400,,100.00000000,100,false,,90,7/1/2024 3:56:00 PM,21.4 secs,,0,0,0.00000000,0,0.00000000,0,0,0,0,0,100.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.9033770001627,30.292343999796
40,1,40,1802,-97.90337700,30.29684100,,100.00000000,100,false,,70,7/1/2024 3:56:00 PM,48.5 secs,,0,0,2.00000000,0,0.00000000,0,0,0,0,0,98.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,1802,-97.90337700,30.29684100,,100.00000000,100,false,,70,7/1/2024 3:56:00 PM,48.5 secs,,0,0,2.00000000,0,0.00000000,0,0,0,0,0,98.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.9033770001627,30.2968410002082
41,1,41,1803,-97.90337700,30.30133700,,100.00000000,100,false,,85,7/1/2024 3:57:00 PM,33.0 secs,,0,0,1.00000000,0,0.00000000,0,0,0,0,0,99.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,1803,-97.90337700,30.30133700,,100.00000000,100,false,,85,7/1/2024 3:57:00 PM,33.0 secs,,0,0,1.00000000,0,0.00000000,0,0,0,0,0,99.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.9033770001627,30.3013370001989
42,1,42,1804,-97.90337700,30.30583400,,100.00000000,100,false,,70,7/1/2024 4:02:00 PM,324.9 secs,,0,0,0.00000000,0,0.00000000,0,0,0,38,1,59.00000000,0,0,2,,,,,,,,,,,,,,,,,,,,,1804,-97.90337700,30.30583400,,100.00000000,100,false,,70,7/1/2024 4:02:00 PM,324.9 secs,,0,0,0.00000000,0,0.00000000,0,0,0,38,1,59.00000000,0,0,2,,,,,,,,,,,,,,,,,,,,,-97.9033770001627,30.305834000016
43,1,43,1805,-97.90337700,30.31033000,,100.00000000,100,false,,60,7/1/2024 4:08:00 PM,336.9 secs,,0,1,3.00000000,0,1.00000000,0,0,0,0,14,34.00000000,1,42,4,,,,,,,,,,,,,,,,,,,,,1805,-97.90337700,30.31033000,,100.00000000,100,false,,60,7/1/2024 4:08:00 PM,336.9 secs,,0,1,3.00000000,0,1.00000000,0,0,0,0,14,34.00000000,1,42,4,,,,,,,,,,,,,,,,,,,,,-97.9033770001627,30.3103300001858
44,1,44,1806,-97.90337700,30.31482700,,100.00000000,100,false,,75,7/1/2024 4:09:00 PM,111.1 secs,,0,0,0.00000000,0,1.00000000,0,0,0,0,0,92.00000000,0,7,0,,,,,,,,,,,,,,,,,,,,,1806,-97.90337700,30.31482700,,100.00000000,100,false,,75,7/1/2024 4:09:00 PM,111.1 secs,,0,0,0.00000000,0,1.00000000,0,0,0,0,0,92.00000000,0,7,0,,,,,,,,,,,,,,,,,,,,,-97.9033770001627,30.3148269999971
45,1,45,1807,-97.89816900,30.29234400,,100.00000000,100,false,,70,7/1/2024 4:20:00 PM,646.2 secs,,0,0,5.00000000,0,14.00000000,0,0,0,0,9,66.00000000,0,1,5,,,,,,,,,,,,,,,,,,,,,1807,-97.89816900,30.29234400,,100.00000000,100,false,,70,7/1/2024 4:20:00 PM,646.2 secs,,0,0,5.00000000,0,14.00000000,0,0,0,0,9,66.00000000,0,1,5,,,,,,,,,,,,,,,,,,,,,-97.898169000235,30.292343999796
46,1,46,1808,-97.89816900,30.29684100,,100.00000000,100,false,,80,7/1/2024 4:21:00 PM,63.8 secs,,0,0,0.00000000,0,0.00000000,0,0,0,5,0,95.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,1808,-97.89816900,30.29684100,,100.00000000,100,false,,80,7/1/2024 4:21:00 PM,63.8 secs,,0,0,0.00000000,0,0.00000000,0,0,0,5,0,95.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.898169000235,30.2968410002082
47,1,47,1809,-97.89816900,30.30133700,,100.00000000,100,false,,80,7/1/2024 4:23:00 PM,96.4 secs,,0,0,0.00000000,0,0.00000000,0,0,0,7,0,84.00000000,0,9,0,,,,,,,,,,,,,,,,,,,,,1809,-97.89816900,30.30133700,,100.00000000,100,false,,80,7/1/2024 4:23:00 PM,96.4 secs,,0,0,0.00000000,0,0.00000000,0,0,0,7,0,84.00000000,0,9,0,,,,,,,,,,,,,,,,,,,,,-97.898169000235,30.3013370001989
48,1,48,1810,-97.89816900,30.30583400,,100.00000000,100,false,,80,7/1/2024 4:24:00 PM,55.8 secs,,0,0,0.00000000,0,3.00000000,0,0,0,7,0,90.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,1810,-97.89816900,30.30583400,,100.00000000,100,false,,80,7/1/2024 4:24:00 PM,55.8 secs,,0,0,0.00000000,0,3.00000000,0,0,0,7,0,90.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.898169000235,30.305834000016
49,1,49,1811,-97.89816900,30.31033000,,100.00000000,100,false,,80,7/1/2024 5:13:00 PM,2968.5 secs,,0,1,2.00000000,0,9.00000000,0,0,0,0,22,61.00000000,0,0,5,,,,,,,,,,,,,,,,,,,,,1811,-97.89816900,30.31033000,,100.00000000,100,false,,80,7/1/2024 5:13:00 PM,2968.5 secs,,0,1,2.00000000,0,9.00000000,0,0,0,0,22,61.00000000,0,0,5,,,,,,,,,,,,,,,,,,,,,-97.898169000235,30.3103300001858
